timestamp,client_count,elapsed_time_ms
2024-12-04 01:19:02,1,0.163
2024-12-04 01:19:02,2,0.190
2024-12-04 01:19:02,3,0.266
2024-12-04 01:19:02,4,0.227
2024-12-04 01:19:02,5,0.290
2024-12-04 01:19:02,6,0.268
2024-12-04 01:19:02,7,0.217
2024-12-04 01:19:02,8,0.233
2024-12-04 01:19:02,9,0.244
2024-12-04 01:19:02,10,0.406
2024-12-04 01:19:02,11,0.298
2024-12-04 01:19:02,12,0.302
2024-12-04 01:19:02,13,0.348
2024-12-04 01:19:02,14,0.308
2024-12-04 01:19:02,15,0.561
2024-12-04 01:19:02,16,0.575
2024-12-04 01:19:03,17,0.877
2024-12-04 01:19:03,18,0.599
2024-12-04 01:19:03,19,0.569
2024-12-04 01:19:03,20,0.593
2024-12-04 01:19:03,21,0.576
2024-12-04 01:19:03,22,0.599
2024-12-04 01:19:03,23,0.824
2024-12-04 01:19:03,24,0.647
2024-12-04 01:19:03,25,0.679
2024-12-04 01:19:03,26,0.686
2024-12-04 01:19:03,27,0.739
2024-12-04 01:19:03,28,0.786
2024-12-04 01:19:03,29,0.964
2024-12-04 01:19:03,30,0.795
2024-12-04 01:19:03,31,0.885
2024-12-04 01:19:03,32,1.204
2024-12-04 01:19:04,33,2.241
2024-12-04 01:19:04,34,0.911
2024-12-04 01:19:04,35,0.929
2024-12-04 01:19:04,36,0.978
2024-12-04 01:19:04,37,0.951
2024-12-04 01:19:04,38,0.957
2024-12-04 01:19:04,39,1.016
2024-12-04 01:19:04,40,1.079
2024-12-04 01:19:04,41,2.541
2024-12-04 01:19:04,42,1.064
2024-12-04 01:19:04,43,0.893
2024-12-04 01:19:04,44,1.184
2024-12-04 01:19:04,45,1.021
2024-12-04 01:19:04,46,1.181
2024-12-04 01:19:04,47,2.083
2024-12-04 01:19:04,48,1.325
2024-12-04 01:19:04,49,2.044
2024-12-04 01:19:05,50,2.075
2024-12-04 01:19:05,51,2.902
2024-12-04 01:19:05,52,2.893
2024-12-04 01:19:05,53,2.917
2024-12-04 01:19:05,54,1.864
2024-12-04 01:19:05,55,2.963
2024-12-04 01:19:05,56,3.359
2024-12-04 01:19:05,57,2.426
2024-12-04 01:19:05,58,2.293
2024-12-04 01:19:05,59,1.272
2024-12-04 01:19:05,60,2.410
2024-12-04 01:19:05,61,3.647
2024-12-04 01:19:05,62,2.156
2024-12-04 01:19:05,63,2.725
2024-12-04 01:19:05,64,3.385
2024-12-04 01:19:05,65,3.922
2024-12-04 01:19:05,66,3.901
2024-12-04 01:19:06,67,2.173
2024-12-04 01:19:06,68,2.636
2024-12-04 01:19:06,69,1.927
2024-12-04 01:19:06,70,3.806
2024-12-04 01:19:06,71,3.535
2024-12-04 01:19:06,72,5.127
2024-12-04 01:19:06,73,5.328
2024-12-04 01:19:06,74,5.254
2024-12-04 01:19:06,75,5.416
2024-12-04 01:19:06,76,5.347
2024-12-04 01:19:06,77,4.792
2024-12-04 01:19:06,78,2.751
2024-12-04 01:19:06,79,3.011
2024-12-04 01:19:06,80,4.852
2024-12-04 01:19:06,81,3.227
2024-12-04 01:19:06,82,5.308
2024-12-04 01:19:07,83,3.700
2024-12-04 01:19:07,84,3.343
2024-12-04 01:19:07,85,3.865
2024-12-04 01:19:07,86,3.252
2024-12-04 01:19:07,87,4.522
2024-12-04 01:19:07,88,3.352
2024-12-04 01:19:07,89,4.666
2024-12-04 01:19:07,90,2.106
2024-12-04 01:19:07,91,5.304
2024-12-04 01:19:07,92,4.886
2024-12-04 01:19:07,93,5.661
2024-12-04 01:19:07,94,4.406
2024-12-04 01:19:07,95,5.102
2024-12-04 01:19:07,96,5.948
2024-12-04 01:19:07,97,3.726
2024-12-04 01:19:07,98,5.350
2024-12-04 01:19:07,99,5.758
2024-12-04 01:19:08,100,6.181
2024-12-04 01:19:08,101,3.748
2024-12-04 01:19:08,102,3.807
2024-12-04 01:19:08,103,5.720
2024-12-04 01:19:08,104,5.596
2024-12-04 01:19:08,105,6.109
2024-12-04 01:19:08,106,6.356
2024-12-04 01:19:08,107,6.785
2024-12-04 01:19:08,108,6.649
2024-12-04 01:19:08,109,4.046
2024-12-04 01:19:08,110,7.644
2024-12-04 01:19:08,111,4.720
2024-12-04 01:19:08,112,6.752
2024-12-04 01:19:08,113,6.587
